"filename", "language", "Makefile", "Python", "C++", "C", "Graphviz (DOT)", "Markdown", "XML", "MS SQL", "JSON", "comment", "blank", "total"
"/home/admin/programming/C++/Korra/stegvideo/Makefile", "Makefile", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"/home/admin/programming/C++/Korra/stegvideo/docs/README.md", "Markdown", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"/home/admin/programming/C++/Korra/stegvideo/docs/arch_legend.svg", "XML", 0, 0, 0, 0, 0, 0, 202, 0, 0, 47, 1, 250
"/home/admin/programming/C++/Korra/stegvideo/docs/architecture.dot", "Graphviz (DOT)", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 45, 228
"/home/admin/programming/C++/Korra/stegvideo/docs/architecture_legend.dot", "Graphviz (DOT)", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 19, 84
"/home/admin/programming/C++/Korra/stegvideo/docs/include_map.svg", "XML", 0, 0, 0, 0, 0, 0, 75, 0, 0, 16, 1, 92
"/home/admin/programming/C++/Korra/stegvideo/docs/includes.dot", "Graphviz (DOT)", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"/home/admin/programming/C++/Korra/stegvideo/docs/map.svg", "XML", 0, 0, 0, 0, 0, 0, 510, 0, 0, 97, 1, 608
"/home/admin/programming/C++/Korra/stegvideo/include/color.hpp", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/home/admin/programming/C++/Korra/stegvideo/include/color_codec/codec_json.hpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/admin/programming/C++/Korra/stegvideo/include/color_codec/color_codec.hpp", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/admin/programming/C++/Korra/stegvideo/include/color_codec/hsv_codec.hpp", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/admin/programming/C++/Korra/stegvideo/include/color_codec/palette_codec.hpp", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/admin/programming/C++/Korra/stegvideo/include/color_codec/rgb_palette_codec.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/admin/programming/C++/Korra/stegvideo/include/color_codec/ycbcr_palette_codec.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/compressor/compressor.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/compressor/none_compressor.hpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/corrector/corrector.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/corrector/none_recoverer.hpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/obfuscator/none_obfuscator.hpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/obfuscator/obfuscator.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/basic_block_container.hpp", "C++", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/basic_block_pointer.hpp", "C++", 0, 0, 46, 0, 0, 0, 0, 0, 0, 2, 12, 60
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/basic_block_pointer_proxy.hpp", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 4, 25
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/bit_area.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/rect.h", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block/rgb_index.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_block_config.hpp", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 2, 19
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/basic_provider.hpp", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/len_reader/data_length_reader.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/len_reader/raw_ip_length_reader.hpp", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/provider/provider.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/home/admin/programming/C++/Korra/stegvideo/include/encoder/video_encoder.hpp", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/home/admin/programming/C++/Korra/stegvideo/include/json.hpp", "C++", 0, 0, 18408, 0, 0, 0, 0, 0, 0, 4566, 3138, 26112
"/home/admin/programming/C++/Korra/stegvideo/include/math.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/admin/programming/C++/Korra/stegvideo/include/status_error.hpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_config.hpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_in.hpp", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_out.hpp", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/video_pipe_config.hpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/video_pipe_in.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/admin/programming/C++/Korra/stegvideo/include/video_pipe/video_pipe_out.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/admin/programming/C++/Korra/stegvideo/include/video_socket.hpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 6
"/home/admin/programming/C++/Korra/stegvideo/src/color.cpp", "C++", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 14, 141
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/codec_json.cpp", "C++", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 15, 131
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/color_codec.cpp", "C++", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/hsv_codec.cpp", "C++", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 10, 103
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/palette_codec.cpp", "C++", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/rgb_palette_codec.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/admin/programming/C++/Korra/stegvideo/src/color_codec/ycbcr_palette_codec.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/basic_block_container.cpp", "C++", 0, 0, 116, 0, 0, 0, 0, 0, 0, 1, 21, 138
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/basic_block_pointer.cpp", "C++", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 23, 132
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/basic_block_pointer_proxy.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 2, 8, 55
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/rect.c", "C", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block/rgb_index.c", "C", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_block_config.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/basic_provider.cpp", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/provider/len_reader/raw_ip_length_reader.cpp", "C++", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/home/admin/programming/C++/Korra/stegvideo/src/encoder/video_encoder.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/admin/programming/C++/Korra/stegvideo/src/main.c", "C", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 14, 65
"/home/admin/programming/C++/Korra/stegvideo/src/math.c", "C", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/admin/programming/C++/Korra/stegvideo/src/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_in.cpp", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/home/admin/programming/C++/Korra/stegvideo/src/video_pipe/ffmpeg_rtmp/ffmpeg_rtmp_pipe_out.cpp", "C++", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/home/admin/programming/C++/Korra/stegvideo/test/context/data/color_codec/rgb_palette0.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 24
"/home/admin/programming/C++/Korra/stegvideo/test/context/data/color_codec/rgb_palette1.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 40
"/home/admin/programming/C++/Korra/stegvideo/test/context/data/color_codec/rgb_palette2.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 72
"/home/admin/programming/C++/Korra/stegvideo/test/context/data/config/template.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 5, 66
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_37.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 8088, 0, 0, 8088
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_38.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 136
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_39.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 6168, 0, 0, 6168
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_40.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 72
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_41.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 48
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_42.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 136
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_43.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1968, 0, 0, 1968
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_44.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 816, 0, 0, 816
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_45.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 40
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_46.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 2048, 0, 0, 2048
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_47.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 64
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_48.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 40
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_49.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 56
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_50.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 4792, 0, 0, 4792
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_51.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 2800, 0, 0, 2800
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_52.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 48
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_53.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 168
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_54.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 168
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_55.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 448, 0, 0, 448
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_56.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 9048, 0, 0, 9048
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_57.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 208
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_58.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 128
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_59.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 560, 0, 0, 560
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_60.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 200
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_61.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 200
"/home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_62.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 104
"/home/admin/programming/C++/Korra/stegvideo/test/include/frame_io.hpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/admin/programming/C++/Korra/stegvideo/test/include/frame_meta.hpp", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/admin/programming/C++/Korra/stegvideo/test/include/io.hpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/admin/programming/C++/Korra/stegvideo/test/include/test.h", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/admin/programming/C++/Korra/stegvideo/test/lib/frame_io.cpp", "C++", 0, 0, 181, 0, 0, 0, 0, 0, 0, 2, 33, 216
"/home/admin/programming/C++/Korra/stegvideo/test/lib/test.c", "C", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 15, 74
"/home/admin/programming/C++/Korra/stegvideo/test/src/color_codec/rgb_palette_codec_test.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 7, 16
"/home/admin/programming/C++/Korra/stegvideo/test/src/color_test.cpp", "C++", 0, 0, 231, 0, 0, 0, 0, 0, 0, 8, 30, 269
"/home/admin/programming/C++/Korra/stegvideo/test/src/encoder/provider/basic_block_test.cpp", "C++", 0, 0, 147, 0, 0, 0, 0, 0, 0, 6, 27, 180
"/home/admin/programming/C++/Korra/stegvideo/test/src/encoder/provider/len_reader_test.cpp", "C++", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/home/admin/programming/C++/Korra/stegvideo/test/src/math_test.cpp", "C++", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 26, 99
"/home/admin/programming/C++/Korra/stegvideo/test/tool/analyse_decode/database.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/admin/programming/C++/Korra/stegvideo/test/tool/analyse_decode/metric.cpp", "C++", 0, 0, 105, 0, 0, 0, 0, 0, 0, 2, 22, 129
"/home/admin/programming/C++/Korra/stegvideo/test/tool/analyse_decode/sql_scripts/init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 16, 91
"/home/admin/programming/C++/Korra/stegvideo/test/tool/color_test_helper.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 19, 61
"/home/admin/programming/C++/Korra/stegvideo/test/tool/fps_color.cpp", "C++", 0, 0, 161, 0, 0, 0, 0, 0, 0, 14, 47, 222
"/home/admin/programming/C++/Korra/stegvideo/test/tool/gen_frame/argument_generator.cpp", "C++", 0, 0, 97, 0, 0, 0, 0, 0, 0, 2, 14, 113
"/home/admin/programming/C++/Korra/stegvideo/test/tool/gen_frame/frame_generator.cpp", "C++", 0, 0, 120, 0, 0, 0, 0, 0, 0, 2, 10, 132
"/home/admin/programming/C++/Korra/stegvideo/test/tool/gen_frames.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/admin/programming/C++/Korra/stegvideo/test/tool/tgbi_helper.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/admin/programming/C++/Korra/stegvideo/tool/analyse_decode.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/admin/programming/C++/Korra/stegvideo/tool/cmake_init.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/home/admin/programming/C++/Korra/stegvideo/tool/fps_color.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/admin/programming/C++/Korra/stegvideo/tool/run.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/admin/programming/C++/Korra/stegvideo/tool/test.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"Total", "-", 65, 150, 20825, 142, 264, 29, 787, 75, 38749, 4772, 3736, 69594